,ki,kd,time
"(7, 0.0)",7,0.0,25.02503275871277
"(7, 0.5)",7,0.5,25.004628658294678
"(7, 1.0)",7,1.0,25.127416849136353
"(7, 1.5)",7,1.5,25.013581037521362
"(7, 2.0)",7,2.0,25.031103134155273
"(7, 2.5)",7,2.5,25.0265896320343
"(7, 3.0)",7,3.0,25.031030893325806
"(7, 3.5)",7,3.5,25.045981645584106
"(8, 0.0)",8,0.0,18.829123735427856
"(8, 0.5)",8,0.5,12.21218228340149
"(8, 1.0)",8,1.0,25.051443099975586
"(8, 1.5)",8,1.5,12.97925877571106
"(8, 2.0)",8,2.0,25.076224088668823
"(8, 2.5)",8,2.5,25.019561052322388
"(8, 3.0)",8,3.0,17.049970388412476
"(8, 3.5)",8,3.5,13.763571977615356
"(9, 0.0)",9,0.0,16.10145401954651
"(9, 0.5)",9,0.5,12.067431449890137
"(9, 1.0)",9,1.0,13.66404938697815
"(9, 1.5)",9,1.5,12.009172439575195
"(9, 2.0)",9,2.0,14.08235478401184
"(9, 2.5)",9,2.5,12.7462317943573
"(9, 3.0)",9,3.0,13.693849802017212
"(9, 3.5)",9,3.5,13.324376344680786
"(10, 0.0)",10,0.0,12.570752382278442
"(10, 0.5)",10,0.5,12.123691320419312
"(10, 1.0)",10,1.0,12.062427282333374
"(10, 1.5)",10,1.5,12.125067710876465
"(10, 2.0)",10,2.0,12.688583850860596
"(10, 2.5)",10,2.5,12.145746231079102
"(10, 3.0)",10,3.0,13.444091320037842
"(10, 3.5)",10,3.5,11.96489667892456
"(11, 0.0)",11,0.0,12.102267265319824
"(11, 0.5)",11,0.5,11.808170557022095
"(11, 1.0)",11,1.0,12.72943377494812
"(11, 1.5)",11,1.5,11.809226274490356
"(11, 2.0)",11,2.0,12.083614826202393
"(11, 2.5)",11,2.5,12.088908672332764
"(11, 3.0)",11,3.0,12.5897696018219
"(11, 3.5)",11,3.5,11.865614175796509
"(12, 0.0)",12,0.0,11.829513311386108
"(12, 0.5)",12,0.5,11.388007640838623
"(12, 1.0)",12,1.0,11.740822792053223
"(12, 1.5)",12,1.5,11.552492141723633
"(12, 2.0)",12,2.0,11.932014465332031
"(12, 2.5)",12,2.5,11.567616701126099
"(12, 3.0)",12,3.0,11.965306997299194
"(12, 3.5)",12,3.5,12.024103879928589
"(13, 0.0)",13,0.0,11.717466592788696
"(13, 0.5)",13,0.5,11.212374448776245
"(13, 1.0)",13,1.0,11.799147844314575
"(13, 1.5)",13,1.5,11.227992057800293
"(13, 2.0)",13,2.0,11.897294044494629
"(13, 2.5)",13,2.5,11.693964719772339
"(13, 3.0)",13,3.0,11.830488443374634
"(13, 3.5)",13,3.5,11.469812631607056
"(14, 0.0)",14,0.0,11.700867176055908
"(14, 0.5)",14,0.5,13.946866273880005
"(14, 1.0)",14,1.0,11.767310619354248
"(14, 1.5)",14,1.5,11.091125249862671
"(14, 2.0)",14,2.0,11.769354581832886
"(14, 2.5)",14,2.5,11.198290348052979
"(14, 3.0)",14,3.0,11.659960746765137
"(14, 3.5)",14,3.5,11.37834906578064
