,ki,kd,time
"(0.0, 0.0)",0.0,0.0,5.212395429611206
"(0.0, 0.5)",0.0,0.5,6.071897745132446
"(0.0, 1.0)",0.0,1.0,5.848286151885986
"(0.0, 1.5)",0.0,1.5,7.770336866378784
"(0.01, 0.0)",0.01,0.0,6.1915130615234375
"(0.01, 0.5)",0.01,0.5,5.453094959259033
"(0.01, 1.0)",0.01,1.0,5.603044033050537
"(0.01, 1.5)",0.01,1.5,6.520386219024658
"(0.02, 0.0)",0.02,0.0,5.601121187210083
"(0.02, 0.5)",0.02,0.5,15.05294942855835
"(0.02, 1.0)",0.02,1.0,6.296000242233276
"(0.02, 1.5)",0.02,1.5,6.1897571086883545
"(0.03, 0.0)",0.03,0.0,5.203725814819336
"(0.03, 0.5)",0.03,0.5,5.514216899871826
"(0.03, 1.0)",0.03,1.0,5.918592691421509
"(0.03, 1.5)",0.03,1.5,15.069724082946777
"(0.04, 0.0)",0.04,0.0,10.572720289230347
"(0.04, 0.5)",0.04,0.5,5.505005359649658
"(0.04, 1.0)",0.04,1.0,5.347537279129028
"(0.04, 1.5)",0.04,1.5,6.535646438598633
"(0.05, 0.0)",0.05,0.0,5.1648664474487305
"(0.05, 0.5)",0.05,0.5,15.071691513061523
"(0.05, 1.0)",0.05,1.0,9.479100227355957
"(0.05, 1.5)",0.05,1.5,5.813690185546875
"(0.06, 0.0)",0.06,0.0,4.961327791213989
"(0.06, 0.5)",0.06,0.5,5.674688100814819
"(0.06, 1.0)",0.06,1.0,9.523114681243896
"(0.06, 1.5)",0.06,1.5,7.371276617050171
"(0.07, 0.0)",0.07,0.0,5.308166027069092
"(0.07, 0.5)",0.07,0.5,5.574481010437012
"(0.07, 1.0)",0.07,1.0,5.502341032028198
"(0.07, 1.5)",0.07,1.5,7.868031024932861
"(0.08, 0.0)",0.08,0.0,5.275406837463379
"(0.08, 0.5)",0.08,0.5,6.550730466842651
"(0.08, 1.0)",0.08,1.0,5.49303936958313
"(0.08, 1.5)",0.08,1.5,7.196248769760132
"(0.09, 0.0)",0.09,0.0,15.082227230072021
"(0.09, 0.5)",0.09,0.5,5.398389577865601
"(0.09, 1.0)",0.09,1.0,5.300276041030884
"(0.09, 1.5)",0.09,1.5,6.475360155105591
"(0.1, 0.0)",0.1,0.0,5.2005393505096436
"(0.1, 0.5)",0.1,0.5,10.889161586761475
"(0.1, 1.0)",0.1,1.0,9.167616605758667
"(0.1, 1.5)",0.1,1.5,5.893841505050659
"(0.11, 0.0)",0.11,0.0,5.170988321304321
"(0.11, 0.5)",0.11,0.5,5.181806325912476
"(0.11, 1.0)",0.11,1.0,5.462843656539917
"(0.11, 1.5)",0.11,1.5,6.162999629974365
"(0.12, 0.0)",0.12,0.0,5.11427903175354
"(0.12, 0.5)",0.12,0.5,6.591219902038574
"(0.12, 1.0)",0.12,1.0,5.708280324935913
"(0.12, 1.5)",0.12,1.5,6.313852787017822
"(0.13, 0.0)",0.13,0.0,5.18391227722168
"(0.13, 0.5)",0.13,0.5,5.375146389007568
"(0.13, 1.0)",0.13,1.0,5.611462831497192
